plan base: 60 corridas, 4 procesos
listo mps-real_paso-1_chi16_s0 46.1s eval={'12': 1.0, '16': 1.0, '24': 1.0, '32': 0.918}
listo mps-real_paso-1_chi16_s2 46.7s eval={'12': 1.0, '16': 1.0, '24': 0.996, '32': 0.936}
listo mps-real_paso-1_chi16_s1 47.1s eval={'12': 1.0, '16': 1.0, '24': 1.0, '32': 0.932}
listo mps-complejo_paso-1_chi16_s0 77.1s eval={'12': 1.0, '16': 1.0, '24': 1.0, '32': 1.0}
listo mps-complejo_paso-1_chi16_s2 73.1s eval={'12': 1.0, '16': 1.0, '24': 1.0, '32': 1.0}
listo mps-complejo_paso-1_chi16_s1 76.0s eval={'12': 1.0, '16': 1.0, '24': 1.0, '32': 1.0}
listo mps-unitario_paso-1_chi16_s0 75.8s eval={'12': 0.754, '16': 0.125, '24': 0.0, '32': 0.0}
listo mps-unitario_paso-1_chi16_s1 72.9s eval={'12': 0.926, '16': 0.207, '24': 0.0, '32': 0.0}
listo mps-unitario_paso-1_chi16_s2 74.4s eval={'12': 0.938, '16': 0.361, '24': 0.0, '32': 0.0}
listo mps-fourier_paso-1_chi16_s0 75.4s eval={'12': 0.006, '16': 0.0, '24': 0.0, '32': 0.0}
listo mps-fourier_paso-1_chi16_s1 75.9s eval={'12': 0.006, '16': 0.0, '24': 0.0, '32': 0.0}
listo mps-fourier_paso-1_chi16_s2 72.8s eval={'12': 0.004, '16': 0.002, '24': 0.0, '32': 0.0}
listo tf-rope_paso-1_chi16_s0 90.5s eval={'12': 0.998, '16': 0.703, '24': 0.012, '32': 0.0}
listo tf-rope_paso-1_chi16_s2 90.3s eval={'12': 1.0, '16': 0.285, '24': 0.0, '32': 0.0}
listo tf-rope_paso-1_chi16_s1 92.3s eval={'12': 1.0, '16': 0.338, '24': 0.018, '32': 0.0}
listo tf-abaco_paso-1_chi16_s0 71.2s eval={'12': 0.168, '16': 0.035, '24': 0.002, '32': 0.0}
listo mps-real_paso-2_chi16_s0 55.8s eval={'12': 1.0, '16': 1.0, '24': 1.0, '32': 1.0}
listo mps-real_paso-2_chi16_s1 56.4s eval={'12': 1.0, '16': 1.0, '24': 1.0, '32': 1.0}
listo tf-abaco_paso-1_chi16_s1 72.9s eval={'12': 0.168, '16': 0.08, '24': 0.002, '32': 0.0}
listo tf-abaco_paso-1_chi16_s2 73.1s eval={'12': 0.125, '16': 0.023, '24': 0.0, '32': 0.0}
listo mps-real_paso-2_chi16_s2 56.9s eval={'12': 1.0, '16': 1.0, '24': 0.879, '32': 0.496}
listo mps-complejo_paso-2_chi16_s0 94.3s eval={'12': 1.0, '16': 1.0, '24': 1.0, '32': 1.0}
listo mps-complejo_paso-2_chi16_s1 97.0s eval={'12': 1.0, '16': 1.0, '24': 1.0, '32': 1.0}
listo mps-complejo_paso-2_chi16_s2 94.5s eval={'12': 1.0, '16': 1.0, '24': 1.0, '32': 1.0}
listo mps-unitario_paso-2_chi16_s0 93.4s eval={'12': 0.875, '16': 0.131, '24': 0.0, '32': 0.0}
listo mps-unitario_paso-2_chi16_s1 93.6s eval={'12': 0.924, '16': 0.105, '24': 0.0, '32': 0.0}
listo mps-fourier_paso-2_chi16_s0 88.6s eval={'12': 0.006, '16': 0.0, '24': 0.0, '32': 0.0}
listo mps-unitario_paso-2_chi16_s2 95.5s eval={'12': 0.898, '16': 0.168, '24': 0.002, '32': 0.0}
listo mps-fourier_paso-2_chi16_s1 94.2s eval={'12': 0.0, '16': 0.0, '24': 0.0, '32': 0.0}
listo mps-fourier_paso-2_chi16_s2 94.4s eval={'12': 0.0, '16': 0.0, '24': 0.0, '32': 0.0}
listo tf-rope_paso-2_chi16_s0 98.2s eval={'12': 1.0, '16': 0.881, '24': 0.018, '32': 0.0}
listo tf-rope_paso-2_chi16_s1 102.5s eval={'12': 1.0, '16': 0.506, '24': 0.006, '32': 0.0}
listo tf-rope_paso-2_chi16_s2 102.2s eval={'12': 1.0, '16': 0.646, '24': 0.004, '32': 0.0}
listo tf-abaco_paso-2_chi16_s0 79.4s eval={'12': 0.023, '16': 0.0, '24': 0.0, '32': 0.0}
listo tf-abaco_paso-2_chi16_s1 79.3s eval={'12': 0.0, '16': 0.0, '24': 0.0, '32': 0.0}
listo tf-abaco_paso-2_chi16_s2 80.9s eval={'12': 0.002, '16': 0.0, '24': 0.0, '32': 0.0}
listo mps-real_paso-3_chi16_s0 65.6s eval={'12': 1.0, '16': 0.98, '24': 0.771, '32': 0.475}
listo mps-real_paso-3_chi16_s1 65.5s eval={'12': 1.0, '16': 0.975, '24': 0.771, '32': 0.492}
